brewed-coffee,Pike Place® Roast,5,0,0
brewed-coffee,Pike Place® Roast,5,0,0
brewed-coffee,Pike Place® Roast,5,0,0
brewed-coffee,Pumpkin Cream Cold Brew,140,17,7
brewed-coffee,Pumpkin Cream Cold Brew,250,31,12
brewed-coffee,Pumpkin Cream Cold Brew,310,40,15
brewed-coffee,Pumpkin Cream Cold Brew,360,48,17
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee,5,0,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,15,1,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,20,2,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,20,2,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,2,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,2,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,2,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,20,1,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,2,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,25,3,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,3,2
iced-coffee,Starbucks® Cold Brew Coffee with Milk,35,3,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,35,3,1
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,1,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,3,2.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,5,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,70,5,3.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,60,5,2
iced-coffee,Starbucks® Cold Brew Coffee with Milk,60,5,1.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,40,2,2
iced-coffee,Starbucks® Cold Brew Coffee with Milk,50,4,3
iced-coffee,Starbucks® Cold Brew Coffee with Milk,50,7,0
iced-coffee,Starbucks® Cold Brew Coffee with Milk,90,6,4.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,70,6,2.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,70,7,2
iced-coffee,Vanilla Sweet Cream Cold Brew,210,26,11
iced-coffee,Vanilla Sweet Cream Cold Brew,90,9,5
iced-coffee,Vanilla Sweet Cream Cold Brew,110,14,5
iced-coffee,Vanilla Sweet Cream Cold Brew,200,23,11
espresso,Iced Starbucks® Blonde Caffè Latte,50,3,3
espresso,Iced Starbucks® Blonde Caffè Latte,70,6,4
espresso,Iced Starbucks® Blonde Caffè Latte,70,9,0
espresso,Iced Starbucks® Blonde Caffè Latte,120,9,6
espresso,Iced Starbucks® Blonde Caffè Latte,100,9,3.5
espresso,Iced Starbucks® Blonde Caffè Latte,100,9,3
espresso,Iced Starbucks® Blonde Caffè Latte,70,3,4
espresso,Iced Starbucks® Blonde Caffè Latte,90,8,5
espresso,Iced Starbucks® Blonde Caffè Latte,90,11,0
espresso,Iced Starbucks® Blonde Caffè Latte,150,11,7
espresso,Iced Starbucks® Blonde Caffè Latte,130,11,4.5
espresso,Iced Starbucks® Blonde Caffè Latte,130,12,3.5
espresso,Iced Starbucks® Blonde Caffè Latte,100,5,6
espresso,Iced Starbucks® Blonde Caffè Latte,130,11,7
espresso,Iced Starbucks® Blonde Caffè Latte,130,16,0
espresso,Iced Starbucks® Blonde Caffè Latte,210,15,10
espresso,Iced Starbucks® Blonde Caffè Latte,180,15,6
espresso,Iced Starbucks® Blonde Caffè Latte,180,17,5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,100,15,2.5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,110,16,3
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,110,17,1.5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,130,17,4
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,120,17,3
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,120,18,2.5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,140,21,4
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,150,22,4.5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,150,24,2
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,190,24,6
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,170,24,4
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,180,25,4
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,180,26,5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,200,28,6
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,200,31,2
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,250,31,8
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,230,31,5
espresso,Iced Starbucks® Blonde Caramel Cloud Macchiato,230,32,4.5
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,110,16,2.5
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,110,17,3
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,110,19,1.5
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,130,18,4
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,130,18,3
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,130,19,2.5
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,150,22,4
espresso,Iced Starbucks® Blonde Cocoa Cloud Macchiato,160,23,4.5
